source,country,title,link,published,summary
BBC News,UK,What happens now after Trump suffers major blow to economic policy?,https://www.bbc.com/news/articles/c8xgdj9kyero,2025-05-29T07:47:05,The Trump administration would appeal against the ruling shortly after it was announced.
BBC News,UK,Elon Musk leaves White House but says Doge will continue,https://www.bbc.com/news/articles/cz9y4exj822o,2025-05-29T02:49:50,Musk's exit comes after he criticised the legislative centrepiece of the president's agenda.
BBC News,UK,The Conservative Party faces problems - is its leader one of them?,https://www.bbc.com/news/articles/cx2endrywk4o,2025-05-28T23:07:32,"Tory leader Kemi Badenoch has made missteps that are a ‘total disaster’ for the party, claim insiders"
BBC News,UK,Israel announces major expansion of settlements in occupied West Bank,https://www.bbc.com/news/articles/c1j5954edlno,2025-05-29T08:06:33,"The biggest such move in years is condemned by the Palestinian presidency as a ""dangerous escalation""."
BBC News,UK,Heat pump installation to be made easier for millions after planning change,https://www.bbc.com/news/articles/c3e5plqke3no,2025-05-28T23:11:12,The rule requiring planning permission if a heat pump is within 1m of a neighbours property has been removed.
BBC News,UK,Government fast-tracks two new reservoirs to shore up water supply,https://www.bbc.com/news/articles/cy8dv6l2jlzo,2025-05-29T01:49:43,"Changes to planning laws could speed up projects, but experts warn water consumption will also need limiting."
BBC News,UK,Mother who sold six-year-old daughter given life term in South Africa,https://www.bbc.com/news/articles/cj93yvr3n1xo,2025-05-29T08:28:45,Joshlin Smith is yet to be found more than a year after she went missing from her home.
BBC News,UK,Rosenberg: What a new Stalin statue says about Russia's attempt to reshape history,https://www.bbc.com/news/videos/cz63n6j7407o,2025-05-28T23:26:10,A brand new statue of the Soviet dictator Josef Stalin has been unveiled at a Metro station in Moscow.
BBC News,UK,UK turns to AI and drones for new battlefield strategy,https://www.bbc.com/news/articles/ce82qdlel01o,2025-05-29T08:14:30,"The strategic defence review, announced by the government last July, will be published on Monday."
BBC News,UK,Hailey Bieber's makeup brand sold to e.l.f. in $1bn deal,https://www.bbc.com/news/articles/cp92kz02zmro,2025-05-28T22:42:05,"Buyer e.l.f. Beauty calls it a ""beautiful brand that we believe is ready for rocketship growth""."
BBC News,UK,Reeves outlines plan for £25bn pension 'megafunds',https://www.bbc.com/news/articles/cjrn0rz2dpgo,2025-05-29T07:45:48,The government says its overhaul of retirement savings will boost growth and pension pots.
BBC News,UK,Tears and heartbreak over tragic story of South African girl sold by her mother,https://www.bbc.com/news/articles/cdxk480g75qo,2025-05-29T02:01:15,"Joshlin Smith's mother, branded the ""mastermind"" in her child's disappearance, is to be sentenced."
BBC News,UK,What's next for Remember Monday?,https://www.bbc.com/news/articles/cx2qg9p43qvo,2025-05-29T05:06:00,They were the UK's first girl group entrant to Eurovision since 1999.
BBC News,UK,"Widely mocked, wildly celebrated - how Chelsea won the Conference League",https://www.bbc.com/sport/football/articles/c1kv09gp3w9o,2025-05-28T22:58:01,"Wholesale changes and 7,000-mile round trips - BBC Sport tells the story of how Chelsea won the Conference League."
BBC News,UK,The Papers: '£123m down the drain' and 'Better than a slap',https://www.bbc.com/news/articles/c1w39jp4l0zo,2025-05-29T03:54:42,Thames Water faces a major fine and France's president cosies up with his wife on Thursday's front pages.
BBC News,UK,The terrifying new weapon changing the war in Ukraine,https://www.bbc.com/news/articles/ckgn47e5qyno,2025-05-28T16:00:06,The BBC reports from Donetsk where swarms of fibre optic drones give Russia the edge as Ukraine defends towns behind the front line.
BBC News,UK,Golden eagles soaring south back to English skies,https://www.bbc.com/news/articles/c62x408deppo,2025-05-29T01:44:16,Golden eagles reintroduced to southern Scotland start to spread their wings back into English skies.
BBC News,UK,Sophie Habboo joins husband Jamie Laing as Radio 1 co-host,https://www.bbc.com/news/articles/c89p8pjpz0ko,2025-05-29T08:16:44,A Radio 1 schedule shake-up also sees I'm A Celeb star GK Barry presenting at weekends.
BBC News,UK,Crowds of starving Palestinians break into Gaza food warehouse,https://www.bbc.com/news/articles/c0qg5z4lkj0o,2025-05-29T04:04:36,Video footage shows crowds breaking into the warehouse and taking bags of flour and cartons of food.
BBC News,UK,UK to hit 26C this weekend after sunniest spring on record,https://www.bbc.com/weather/articles/c0eqxjjvxw7o,2025-05-28T11:38:22,"Temperatures are set to rise across England and eastern Wales over the next few days, as this spring is confirmed as the sunniest on record."
BBC News,UK,Deborra-Lee Furness describes 'betrayal' after Hugh Jackman divorce,https://www.bbc.com/news/articles/cx2qev7z96lo,2025-05-29T01:37:28,The couple filed for divorce this month after announcing their separation in September 2023.
BBC News,UK,BBC News app,https://www.bbc.co.uk/news/10628994,2025-04-30T14:04:28,"Top stories, breaking news, live reporting, and follow news topics that match your interests"
BBC News,UK,Is the Trump-Musk bromance now over?,https://www.bbc.co.uk/sounds/play/p0lf0p4s,2025-05-28T18:13:00,The tech titan has publicly disagreed with the president
BBC News,UK,Are (even more of) Israel’s allies turning against them?,https://www.bbc.co.uk/sounds/play/p0lf0yb8,2025-05-28T18:40:00,EU says Israeli strikes in Gaza 'go beyond what is necessary' to fight Hamas
BBC News,UK,'Look at him crying' - Littler's rise in his own words,https://www.bbc.com/sport/darts/articles/cz0dxve2j7go,2025-05-29T06:03:54,"Ahead of the Premier League Darts play-offs on Thursday, Luke Littler talks BBC Sport through some of the most iconic pictures from his career so far."
BBC News,UK,'I don't think they have daughters' - French Open night session debate reignites,https://www.bbc.com/sport/tennis/articles/c0mrx7kv9xwo,2025-05-28T17:47:04,Not since 2023 has a women's singles match occupied the primetime night session slot on Court Philippe Chatrier - a run stretching over 19 successive matches.
BBC News,UK,'Genius' Palmer 'made the difference' against Real Betis,https://www.bbc.com/sport/football/articles/c629vgwx5llo,2025-05-28T23:32:48,"Cole Palmer was called a ""genius"" after inspiring Chelsea to victory against Real Betis in the Conference League final."
BBC News,UK,How son of Man City cult hero is 'creating his own name',https://www.bbc.com/sport/football/articles/c9wgvgk9g78o,2025-05-29T05:40:01,"After choosing to leave his father's former club Manchester City at 19, Colin Rosler has forged his own path to become a league champion and full international."
CNN,USA,Trump pleads not guilty to 34 felony counts,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html,,
CNN,USA,Haberman reveals why Trump attacked judge and his family in speech,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn,2023-04-05T13:30:09,CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.
CNN,USA,What to know about the Trump indictment on the eve of his court appearance,https://www.cnn.com/collections/intl-trump-040223/,2023-04-05T22:50:06,
CNN,USA,READ: Trump indictment related to hush money payment,https://cnn.it/411KYN7,,
CNN,USA,Russian authorities detain suspect over St. Petersburg cafe blast,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,,
CNN,USA,Video shows moment of deadly explosion at cafe in Russia,https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn,2023-04-04T01:08:44,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports."
CNN,USA,"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says",https://www.cnn.com/collections/intl-ukraine-030423/,2023-04-03T13:58:58,
CNN,USA,Suspected Chinese spy balloon was able to transmit information back to Beijing,https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html,2023-04-03T13:38:22,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN."
CNN,USA,Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html,2023-04-04T07:49:53,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.
CNN,USA,"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn,2023-04-03T12:13:24,"A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health."
CNN,USA,The four astronauts NASA picked for the first crewed moon mission in 50 years,https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html,2023-04-04T11:44:30,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024."
CNN,USA,French minister under fire for Playboy magazine cover,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html,2023-04-03T11:54:59,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.
CNN,USA,Why did Finland's PM lose? Reporter explains the key issue voters cared about,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn,2023-04-03T10:06:11,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.
